Date,Close,High,Low,Open,Volume
2017-09-18,15.7872,15.7872,15.6827,15.7302,10771272
2017-09-19,15.7112,15.8156,15.6922,15.7966,5825792
2017-09-20,15.6068,15.6922,15.5878,15.6637,39854696
2017-09-21,15.7017,15.7207,15.5593,15.5783,7320912
2017-09-22,15.4929,15.6827,15.4834,15.6827,22423144
2017-09-25,15.3694,15.4834,15.3315,15.4834,28284184
2017-09-26,15.246,15.3884,15.246,15.341,47009200
2017-09-27,15.322,15.36,15.2935,15.303,24971608
2017-09-28,15.265,15.341,15.246,15.3315,27597268
2017-09-29,15.3125,15.3125,15.246,15.2745,13775460
2017-10-02,15.4739,15.4929,15.4264,15.4264,13040768
2017-10-03,15.4739,15.5118,15.4359,15.4834,6312412
2017-10-05,15.5403,15.5878,15.4739,15.4739,25628312
2017-10-06,15.5878,15.6068,15.5593,15.5878,16507124
2017-10-11,15.8346,15.8346,15.6542,15.6542,63901824
2017-10-12,15.9865,15.9865,15.8631,15.8631,35080176
2017-10-13,15.958,15.958,15.9011,15.939,14384064
2017-10-16,16.0435,16.0435,15.958,15.958,16182852
2017-10-17,16.0055,16.0814,16.0055,16.053,12935588
2017-10-18,16.0625,16.1384,16.0055,16.1004,17890512
2017-10-19,16.1194,16.1764,16.0814,16.0814,9789764
2017-10-20,16.053,16.1099,16.0245,16.0245,6902248
2017-10-23,16.0435,16.1289,16.034,16.0814,7087432
2017-10-24,16.0245,16.0435,15.9865,16.0435,4288612
2017-10-25,16.015,16.0625,15.9865,16.0055,9666564
2017-10-26,15.996,16.0245,15.9485,15.977,12905928
2017-10-27,16.0055,16.0909,15.9865,16.0055,8564552
2017-10-30,16.1289,16.2049,16.1004,16.1574,13431968
2017-10-31,16.1764,16.2049,16.1004,16.1384,8525736
2017-11-01,16.1574,16.2143,16.1289,16.2049,5254992
2017-11-02,16.1004,16.1479,16.0814,16.1289,6250148
2017-11-03,16.0814,16.1479,16.0625,16.1289,5823476
2017-11-06,16.1099,16.1954,16.0625,16.1764,6293204
2017-11-07,16.1954,16.1954,16.1099,16.1384,8845884
2017-11-08,16.1289,16.1764,16.1289,16.1764,3239520
